uni,type,res,pct,state,region,uni_abbr
Texas Tech University,No,5,0.385,Texas,mountain,TTU
Texas Tech University,Yes,3,0.231,Texas,mountain,TTU
UMass Amherst,Nonuse,3,0.25,Massachusetts,northeast,Amherst
UMass Amherst,No,6,0.5,Massachusetts,northeast,Amherst
UMass Amherst,Yes,3,0.25,Massachusetts,northeast,Amherst
University of Alabama,Nonuse,2,0.133,Alabama,south,UOAL
University of Alabama,No,11,0.733,Alabama,south,UOAL
University of Alabama,Yes,2,0.133,Alabama,south,UOAL
University of Arizona,Nonuse,3,0.273,Arizona,pacific,UOAR
University of Arizona,No,4,0.364,Arizona,pacific,UOAR
University of Arizona,Yes,4,0.364,Arizona,pacific,UOAR
University of Arkansas,Nonuse,19,0.288,Arkansas,south,UOAK
University of Arkansas,No,35,0.53,Arkansas,south,UOAK
University of Arkansas,Yes,12,0.182,Arkansas,south,UOAK
"University of California, Berkeley",Nonuse,19,0.209,California,pacific,UOCB
"University of California, Berkeley",No,47,0.516,California,pacific,UOCB
"University of California, Berkeley",Yes,25,0.275,California,pacific,UOCB
"University of California, Davis",Nonuse,6,0.353,California,pacific,UOCD
"University of California, Davis",No,8,0.471,California,pacific,UOCD
"University of California, Davis",Yes,3,0.176,California,pacific,UOCD
"University of California, Los Angeles",Nonuse,5,0.385,California,pacific,UOCLA
"University of California, Los Angeles",No,7,0.538,California,pacific,UOCLA
"University of California, Los Angeles",Yes,1,0.077,California,pacific,UOCLA
"University of California, Santa Barbara",Nonuse,17,0.227,California,pacific,UOCSB
"University of California, Santa Barbara",No,34,0.453,California,pacific,UOCSB
"University of California, Santa Barbara",Yes,24,0.32,California,pacific,UOCSB
University of Georgia,Nonuse,1,0.091,Georgia,south,UOG
University of Georgia,No,9,0.818,Georgia,south,UOG
University of Georgia,Yes,1,0.091,Georgia,south,UOG
University of Illinois,Nonuse,8,0.17,Illinois,midwest,UOI
University of Illinois,No,29,0.617,Illinois,midwest,UOI
University of Illinois,Yes,10,0.213,Illinois,midwest,UOI
University of Kansas,Nonuse,2,0.2,Kansas,midwest,UOK
University of Kansas,No,5,0.5,Kansas,midwest,UOK
University of Kansas,Yes,3,0.3,Kansas,midwest,UOK
University of Michigan,Nonuse,23,0.267,Michigan,midwest,Mich
University of Michigan,No,49,0.57,Michigan,midwest,Mich
University of Michigan,Yes,14,0.163,Michigan,midwest,Mich
University of Missouri,Nonuse,8,0.267,Missouri,midwest,Miss
University of Missouri,No,15,0.5,Missouri,midwest,Miss
University of Missouri,Yes,7,0.233,Missouri,midwest,Miss
University of North Carolina,Nonuse,3,0.25,North Carolina,south,UONC
University of North Carolina,No,8,0.667,North Carolina,south,UONC
University of North Carolina,Yes,1,0.083,North Carolina,south,UONC
University of Pennsylvania,Nonuse,24,0.222,Pennsylvania,northeast,UOP
University of Pennsylvania,No,60,0.556,Pennsylvania,northeast,UOP
University of Pennsylvania,Yes,24,0.222,Pennsylvania,northeast,UOP
University of Richmond,Nonuse,7,0.389,Virginia,south,UOR
University of Richmond,No,9,0.5,Virginia,south,UOR
University of Richmond,Yes,2,0.111,Virginia,south,UOR
University of Southern California,Nonuse,2,0.2,California,pacific,UOSC
University of Southern California,No,7,0.7,California,pacific,UOSC
University of Southern California,Yes,1,0.1,California,pacific,UOSC
University of Texas,Nonuse,26,0.356,Texas,mountain,UOT
University of Texas,No,35,0.479,Texas,mountain,UOT
University of Texas,Yes,12,0.164,Texas,mountain,UOT
University of Virginia,Nonuse,8,0.444,Virginia,south,UOV
University of Virginia,No,7,0.389,Virginia,south,UOV
University of Virginia,Yes,3,0.167,Virginia,south,UOV
University of Wisconsin-Madison,Nonuse,21,0.167,Wisconsin,midwest,UOW
University of Wisconsin-Madison,No,71,0.563,Wisconsin,midwest,UOW
University of Wisconsin-Madison,Yes,34,0.27,Wisconsin,midwest,UOW
Vanderbilt University,Nonuse,12,0.122,Tennessee,south,VU
Vanderbilt University,No,63,0.643,Tennessee,south,VU
Vanderbilt University,Yes,23,0.235,Tennessee,south,VU
Washington State University,Nonuse,6,0.231,Washington,pacific,WSU
Washington State University,No,12,0.462,Washington,pacific,WSU
Washington State University,Yes,8,0.308,Washington,pacific,WSU
