,Area_Name,Area_ID,Park_Name,Park_ID,Squirrel_ID,Primary_Fur_Color,Highlights_in_Fur_Color,Color_Notes,Location,Above_Ground_(Height_in_Feet),Specific_Location,Activities,Interactions_with_Humans,Other_Notes_or_Observations,Squirrel_Latitude_(DD.DDDDDD),Squirrel_Longitude_(-DD.DDDDDD)
198,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-18,Gray,,,,,,Chasing,Indifferent,,40.729809,-73.996762
199,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-19,Gray,,,,,,Chasing,Indifferent,,40.729939,-73.997068
241,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-10,Gray,Gray,,Above Ground,30,,Chasing,Indifferent,,,
242,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-11,Gray,Gray,,Above Ground,30,,Chasing,Indifferent,,,
281,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-50,Gray,Gray,,Ground Plane,,,Chasing,Indifferent,,,
282,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-51,Black,Black,,Ground Plane,,,Chasing,Indifferent,,,
294,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-04,Gray,Gray,,"Ground Plane, Above Ground",,,Chasing,,Siblings? (with #3) Playing (with #3) in fenced yard,40.72263,-73.973109
308,LOWER MANHATTAN,C,Seward Park,14,C-14-06,Gray,Cinnamon,,Ground Plane,,,Chasing,Indifferent,"Medium bushy, maybe a little younger, agile, sprightly",40.715033,-73.989609
309,LOWER MANHATTAN,C,Seward Park,14,C-14-07,Gray,Cinnamon,,Ground Plane,,,Chasing,Indifferent,Too quick,40.715208,-73.989534
322,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-13,Gray,Black,,"Ground Plane, Above Ground",30,,Chasing,,"#13, #14 & #15: Scattering and teasing a Shih Tzu that chased them, runs from dog",40.711417,73.977767
323,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-14,Gray,Black,,"Ground Plane, Above Ground",30,,Chasing,,"#13, #14 & #15: Scattering and teasing a Shih Tzu that chased them, runs from dog",40.711421,-73.977692
324,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-15,Gray,Black,,"Ground Plane, Above Ground",30,,Chasing,,"#13, #14 & #15: Scattering and teasing a Shih Tzu that chased them, runs from dog",40.711409,-73.977719
363,LOWER MANHATTAN,C,Battery Park,20,C-20-15,Gray,White,White bellies,,,,Chasing,,"Flirty, chasing #16, also eating urban farm debris",40.70352,-74.015273
364,LOWER MANHATTAN,C,Battery Park,20,C-20-16,Gray,White,White bellies,,,,Chasing,,"Flirty, being chased by #15, also eating urban farm debris",40.703487,-74.015278
377,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-03,Gray,Cinnamon,,Ground Plane,,,Chasing,Approaches,,40.725511,-73.943448
395,BROOKLYN,D,McCarren Park,22,D-22-07,Cinnamon,,,Ground Plane,,,Chasing,Approaches,Skinny tail ÛÓ was in the baseball field,40.72147,-73.952857
409,BROOKLYN,D,McCarren Park,22,D-22-21,Gray,"Cinnamon, White",,Above Ground,15,,Chasing,Indifferent,"Started in middle of tree, started chasing others up in branches, jumped from branch to branch",40.720582,-73.952694
431,BROOKLYN,D,McCarren Park,22,D-22-43,Gray,White,,Above Ground,10,,Chasing,Indifferent,Playing with another squirrel in a tree,40.721026,-73.950765
