,Area_Name,Area_ID,Park_Name,Park_ID,Squirrel_ID,Primary_Fur_Color,Highlights_in_Fur_Color,Color_Notes,Location,Above_Ground_(Height_in_Feet),Specific_Location,Activities,Interactions_with_Humans,Other_Notes_or_Observations,Squirrel_Latitude_(DD.DDDDDD),Squirrel_Longitude_(-DD.DDDDDD)
160,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-05,Gray,Cinnamon,,Above Ground,30,,Climbing,,,40.733591,-73.983263
161,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-06,Gray,Cinnamon,,Above Ground,15,,Climbing,Indifferent,,40.733648,-73.984294
166,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-11,Gray,Cinnamon,,Above Ground,20,,Climbing,Indifferent,Juvenile? Playing with #12 in tree,40.733619,-73.984708
192,CENTRAL MANHATTAN,B,Washington Square Park,10,B-10-12,Gray,Gray,,Above Ground,25,,Climbing,Indifferent,,,
232,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-01,Gray,Gray,,Specific Location,,Tree,Climbing,Runs From,"Nut in mouth, very fast moving",,
239,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-08,Gray,Gray,,Above Ground,20,,Climbing,Indifferent,,,
246,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-15,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
247,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-16,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
248,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-17,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
249,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-18,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
252,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-21,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
265,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-34,Gray,Gray,,Specific Location,,Tree,Climbing,Approaches,,,
267,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-36,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
268,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-37,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
285,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-54,Gray,Gray,,Specific Location,,Tree,Climbing,Indifferent,,,
286,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-55,Gray,Gray,,Specific Location,,Tree,Climbing,,,,
287,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-56,Gray,Gray,,Specific Location,,Tree,Climbing,,,,
288,CENTRAL MANHATTAN,B,Tompkins Square Park,11,B-11-57,Gray,Gray,,Specific Location,,Tree,Climbing,,,,
293,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-03,Gray,Gray,,"Ground Plane, Above Ground",,,Climbing,Approaches,Siblings? (with #4) Playing (with #4) in fenced yard,40.72263,-73.973001
297,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-07,Gray,Gray,,"Ground Plane, Above Ground",8,,Climbing,Indifferent,,40.719379,-73.973504
298,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-08,Gray,Gray,,"Ground Plane, Above Ground",8,,Climbing,Indifferent,,40.71935,-73.973445
299,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-09,Gray,Gray,,"Above Ground, Specific Location",12,in a tree,Climbing,,,40.721923,-73.974121
301,CENTRAL MANHATTAN,B,John V. Lindsay East River Park,12,B-12-11,Gray,Gray,,Ground Plane,,,Climbing,Indifferent,Was very close to a dog and hid in a tree,40.724608,-73.972841
306,LOWER MANHATTAN,C,Seward Park,14,C-14-04,Gray,Cinnamon,,Ground Plane,,,Climbing,Approaches,Looking to us for food! Climbed tree when we did not have any to give.,40.71468,-73.989776
307,LOWER MANHATTAN,C,Seward Park,14,C-14-05,Gray,Cinnamon,Cinnamon tail,"Ground Plane, Above Ground",9,,Climbing,Approaches,"Skinny tail, lots of digging, found an acorn and is eating",40.714846,-73.989679
310,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-01,Gray,,,Above Ground,20,,Climbing,Runs From,Frantically zig-zagging whilst clutching a mid-afternoon snack,40.712159,-73.979415
318,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-09,Gray,Cinnamon,,Above Ground,8,,Climbing,,Meandering among the branches,40.711866,-73.97976
319,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-10,Gray,Gray,,Above Ground,8,,Climbing,Approaches,"Came by to make sure we had proper Sighter buttons, looks like a Gerald",40.71174,-73.980539
322,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-13,Gray,Black,,"Ground Plane, Above Ground",30,,Climbing,,"#13, #14 & #15: Scattering and teasing a Shih Tzu that chased them, runs from dog",40.711417,73.977767
323,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-14,Gray,Black,,"Ground Plane, Above Ground",30,,Climbing,,"#13, #14 & #15: Scattering and teasing a Shih Tzu that chased them, runs from dog",40.711421,-73.977692
324,LOWER MANHATTAN,C,Corlears Hook Park,15,C-15-15,Gray,Black,,"Ground Plane, Above Ground",30,,Climbing,,"#13, #14 & #15: Scattering and teasing a Shih Tzu that chased them, runs from dog",40.711409,-73.977719
326,LOWER MANHATTAN,C,Columbus Park,16,C-16-01,Gray,Cinnamon,Cinnamon streak down back,Ground Plane,,,Climbing,Approaches,"Boy, Alert ÛÓ lots of basketball close by",40.714867,-74.000236
329,LOWER MANHATTAN,C,Columbus Park,16,C-16-04,Gray,,,Above Ground,35,,Climbing,Approaches,Patchy ÛÓåÊbald spots,40.715779,-73.999887
332,LOWER MANHATTAN,C,City Hall Park,19,C-19-02,Gray,,,Above Ground,,,Climbing,,Chasing #3 up the tree,40.712938,-74.005152
333,LOWER MANHATTAN,C,City Hall Park,19,C-19-03,Gray,,,Above Ground,,,Climbing,,Chasing #2 up the tree,40.712938,-74.005152
339,LOWER MANHATTAN,C,City Hall Park,19,C-19-09,Gray,Gray,,Above Ground,5,,Climbing,"Indifferent, Runs From","Perched in a bush, watched us and scampered off to eat - very little squirrel",40.712836,-74.005662
346,LOWER MANHATTAN,C,City Hall Park,19,C-19-16,Gray,White,Lots of white!,Above Ground,3,,Climbing,Watching,"Perched on knot of tree, watching us, then started foraging",40.71312,-74.006862
350,LOWER MANHATTAN,C,Battery Park,20,C-20-02,Gray,"Cinnamon, White",,Specific Location,,on fencing,Climbing,,#1ÛÒ5 all together being fed by humans - Hungry,40.704011,-74.016134
367,LOWER MANHATTAN,C,Battery Park,20,C-20-19,Gray,Cinnamon,,Above Ground,2,,Climbing,,,40.70295,-74.015813
372,LOWER MANHATTAN,C,Battery Park,20,C-20-24,Gray,Cinnamon,,Specific Location,,on fence,Climbing,,,40.702467,-74.015757
374,LOWER MANHATTAN,C,Battery Park,20,C-20-26,Gray,Cinnamon,,Specific Location,,on fence,Climbing,,,40.702618,-74.016556
376,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-02,Gray,Cinnamon,White underbelly,Above Ground,< 1,,Climbing,Indifferent,,40.725511,-73.943609
378,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-04,Gray,,,Above Ground,15,,Climbing,,,40.725478,-73.944113
381,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-07,Gray,,,Above Ground,30,,Climbing,,,40.725413,-73.943984
382,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-08,Gray,,,Ground Plane,,,Climbing,,,40.724755,-73.944006
383,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-09,Gray,,,Ground Plane,,,Climbing,,,40.723974,-73.943845
384,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-10,Gray,,,Ground Plane,,,Climbing,,,40.723462,-73.943952
385,BROOKLYN,D,Msgr. McGolrick Park,21,D-21-11,Gray,,,Ground Plane,,,Climbing,,,40.725372,-73.943652
392,BROOKLYN,D,McCarren Park,22,D-22-04,Gray,Cinnamon,,Above Ground,,,Climbing,Runs From,,40.721857,-73.953139
394,BROOKLYN,D,McCarren Park,22,D-22-06,Cinnamon,,,Above Ground,,,Climbing,Approaches,Perched up ÛÓ came close to us!,40.722039,-73.952796
398,BROOKLYN,D,McCarren Park,22,D-22-10,Gray,"Cinnamon, White",,"Above Ground, Specific Location",12,in tree,Climbing,Runs From,Ran up a tree,40.722283,-73.953115
401,BROOKLYN,D,McCarren Park,22,D-22-13,Gray,White,,Above Ground,,,Climbing,Indifferent,Ran from ground to tree,40.722966,-73.951987
402,BROOKLYN,D,McCarren Park,22,D-22-14,Cinnamon,White,,"Above Ground, Specific Location",3,in short tree,Climbing,Indifferent,,40.723136,-73.951794
407,BROOKLYN,D,McCarren Park,22,D-22-19,Cinnamon,"Gray, White",,Above Ground,20,,Climbing,,"Very small, climbed from one tree to another",40.721247,-73.951609
408,BROOKLYN,D,McCarren Park,22,D-22-20,Gray,"Cinnamon, White",,Above Ground,75,,Climbing,Indifferent,"Small, on tree on branch, two others below it",40.720606,-73.952769
409,BROOKLYN,D,McCarren Park,22,D-22-21,Gray,"Cinnamon, White",,Above Ground,15,,Climbing,Indifferent,"Started in middle of tree, started chasing others up in branches, jumped from branch to branch",40.720582,-73.952694
410,BROOKLYN,D,McCarren Park,22,D-22-22,Gray,"Cinnamon, White",,Above Ground,20,,Climbing,Indifferent,One of three together on a tree,40.720533,-73.95272
411,BROOKLYN,D,McCarren Park,22,D-22-23,Gray,White,,Above Ground,20,,Climbing,Indifferent,Jumped from one tree to next,40.720488,-73.952806
430,BROOKLYN,D,McCarren Park,22,D-22-42,Gray,Gray,,Above Ground,,,Climbing,Indifferent,Clinging to tree,40.721124,-73.950797
431,BROOKLYN,D,McCarren Park,22,D-22-43,Gray,White,,Above Ground,10,,Climbing,Indifferent,Playing with another squirrel in a tree,40.721026,-73.950765
